insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (1, 53, 14, 23, 8, 4, 59, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (28, 32, 8, 2, 12, 3, 100, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (29, 55, 3, 6, 7, 2, 98, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (30, 6, 1, 2, 4, 1, 94, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (31, 9, 10, 31, 10, 3, 19, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (32, 10, 0, 6, 11, 3, 5, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (33, 14, 4, 26, 11, 1, 15, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (34, 39, 6, 25, 9, 2, 67, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (35, 22, 1, 1, 12, 3, 29, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (36, 44, 8, 22, 4, 4, 79, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (37, 52, 19, 9, 1, 4, 95, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (38, 38, 22, 28, 6, 3, 46, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (39, 7, 0, 15, 2, 1, 40, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (40, 0, 9, 1, 6, 4, 8, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (41, 46, 2, 3, 7, 3, 15, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (42, 0, 1, 31, 1, 3, 88, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (43, 34, 13, 23, 4, 1, 41, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (44, 26, 4, 2, 10, 3, 98, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (45, 54, 9, 14, 5, 4, 36, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (46, 46, 21, 12, 6, 4, 72, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (47, 30, 1, 29, 5, 3, 40, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (48, 11, 20, 27, 6, 2, 98, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (49, 45, 23, 28, 9, 1, 28, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (50, 55, 22, 31, 9, 4, 51, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (51, 31, 14, 12, 9, 2, 82, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (52, 13, 6, 31, 2, 1, 34, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (53, 13, 12, 11, 12, 4, 13, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (54, 28, 2, 27, 11, 2, 2, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (55, 6, 19, 26, 7, 1, 39, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (56, 40, 0, 19, 4, 1, 28, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (57, 34, 3, 18, 9, 3, 100, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (58, 56, 15, 7, 2, 2, 4, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (59, 17, 10, 6, 12, 3, 67, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (60, 33, 15, 12, 4, 3, 20, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (61, 17, 2, 17, 4, 3, 35, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (62, 22, 21, 24, 3, 3, 14, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (63, 41, 1, 30, 2, 3, 58, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (64, 55, 13, 27, 7, 4, 31, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (65, 19, 15, 15, 7, 2, 10, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (66, 29, 15, 27, 8, 4, 76, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (67, 34, 23, 10, 4, 2, 51, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (68, 48, 1, 28, 11, 3, 49, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (69, 44, 18, 4, 8, 3, 93, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (70, 1, 2, 14, 7, 2, 48, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (71, 46, 4, 28, 1, 2, 70, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (72, 35, 17, 13, 10, 2, 78, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (73, 9, 0, 26, 1, 4, 71, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (74, 39, 5, 21, 7, 3, 96, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (75, 25, 4, 20, 3, 3, 32, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (76, 43, 15, 28, 5, 4, 12, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (77, 2, 9, 7, 7, 2, 77, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (78, 40, 11, 9, 12, 4, 77, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (79, 14, 20, 6, 10, 2, 88, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (80, 21, 6, 1, 3, 3, 8, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (81, 0, 9, 3, 2, 4, 19, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (82, 55, 17, 1, 11, 2, 35, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (83, 13, 15, 7, 11, 2, 81, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (84, 37, 23, 25, 8, 2, 40, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (85, 30, 22, 19, 12, 1, 14, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (86, 41, 19, 26, 9, 1, 51, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (87, 36, 5, 11, 7, 4, 85, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (88, 59, 18, 8, 10, 4, 43, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (89, 25, 20, 15, 1, 3, 77, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (90, 54, 9, 31, 12, 1, 76, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (91, 36, 3, 13, 10, 2, 3, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (92, 42, 6, 10, 3, 4, 87, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (93, 55, 9, 15, 4, 4, 98, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (94, 25, 20, 8, 2, 4, 50, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (95, 27, 3, 8, 2, 4, 68, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (96, 17, 12, 29, 7, 2, 4, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (97, 38, 3, 31, 8, 1, 75, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (98, 59, 20, 8, 2, 3, 45, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (99, 35, 14, 22, 3, 2, 6, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (100, 50, 14, 6, 8, 2, 28, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (101, 51, 11, 15, 12, 3, 57, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (102, 28, 5, 7, 2, 4, 33, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (103, 9, 0, 4, 2, 4, 57, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (104, 9, 21, 18, 2, 4, 46, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (105, 23, 13, 26, 7, 4, 10, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (106, 12, 20, 16, 11, 1, 29, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (107, 40, 23, 2, 3, 2, 31, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (108, 20, 7, 26, 4, 3, 2, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (109, 47, 23, 11, 3, 1, 51, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (110, 30, 5, 22, 4, 1, 37, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (111, 17, 14, 9, 5, 4, 52, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (112, 40, 12, 25, 3, 3, 97, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (113, 51, 12, 7, 7, 2, 78, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (114, 31, 10, 20, 12, 4, 9, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (115, 17, 8, 23, 4, 2, 46, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (116, 48, 14, 16, 10, 3, 81, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (117, 57, 13, 30, 4, 4, 28, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (118, 52, 2, 12, 12, 3, 56, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (119, 33, 16, 7, 7, 1, 59, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (120, 14, 6, 5, 3, 3, 30, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (121, 37, 9, 3, 9, 3, 14, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (122, 35, 21, 22, 4, 2, 81, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (123, 19, 3, 1, 1, 2, 73, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (124, 0, 18, 31, 12, 1, 14, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (125, 53, 5, 18, 1, 3, 43, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (126, 50, 16, 25, 10, 1, 66, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (127, 55, 8, 17, 11, 1, 68, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (128, 40, 11, 7, 11, 2, 64, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (129, 1, 21, 30, 8, 2, 97, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (130, 42, 0, 27, 7, 1, 6, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (131, 27, 21, 17, 11, 2, 72, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (132, 2, 1, 8, 9, 1, 90, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (133, 42, 3, 11, 4, 3, 21, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (134, 56, 14, 12, 9, 3, 10, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (135, 48, 20, 11, 8, 4, 75, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (136, 5, 13, 19, 4, 1, 78, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (137, 3, 4, 10, 7, 3, 88, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (138, 59, 20, 26, 10, 2, 4, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (139, 37, 5, 18, 3, 2, 89, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (140, 55, 22, 15, 1, 3, 26, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (141, 54, 20, 3, 6, 4, 12, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (142, 57, 12, 20, 5, 2, 3, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (143, 3, 9, 31, 10, 1, 32, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (144, 40, 16, 28, 6, 1, 74, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (145, 13, 6, 15, 6, 2, 80, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (146, 13, 10, 10, 6, 1, 24, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (147, 47, 9, 29, 6, 1, 22, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (148, 35, 19, 12, 10, 2, 88, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (149, 44, 8, 24, 3, 4, 96, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (150, 45, 20, 7, 11, 1, 58, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (151, 47, 8, 16, 8, 3, 12, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (152, 54, 8, 28, 7, 1, 99, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (153, 4, 17, 9, 10, 2, 47, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (154, 49, 10, 8, 11, 3, 99, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (155, 25, 11, 26, 11, 3, 8, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (156, 3, 5, 5, 1, 4, 22, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (157, 16, 20, 10, 6, 4, 63, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (158, 40, 23, 22, 9, 2, 24, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (159, 28, 11, 13, 10, 1, 3, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (160, 17, 8, 10, 12, 1, 68, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (161, 15, 4, 18, 8, 1, 96, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (162, 10, 2, 2, 3, 2, 80, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (163, 21, 9, 13, 12, 2, 85, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (164, 0, 0, 25, 8, 1, 48, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (165, 18, 8, 7, 1, 4, 54, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (166, 20, 4, 10, 1, 3, 10, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (167, 58, 5, 8, 8, 2, 96, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (168, 0, 5, 29, 3, 2, 19, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (169, 44, 1, 22, 9, 1, 21, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (170, 41, 19, 1, 7, 1, 26, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (171, 20, 16, 29, 9, 1, 96, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (172, 56, 5, 18, 10, 1, 99, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (173, 45, 16, 20, 4, 4, 62, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (174, 6, 3, 23, 9, 1, 7, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (175, 6, 18, 28, 9, 4, 67, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (176, 31, 0, 26, 2, 2, 17, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (177, 52, 20, 15, 5, 1, 78, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (178, 18, 3, 28, 11, 3, 100, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (179, 32, 15, 1, 4, 2, 9, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (180, 51, 1, 28, 4, 4, 22, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (181, 51, 1, 20, 11, 3, 24, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (182, 40, 8, 6, 12, 4, 10, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (183, 22, 2, 4, 11, 4, 54, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (184, 57, 6, 19, 3, 3, 24, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (185, 10, 18, 20, 11, 2, 21, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (186, 12, 3, 31, 1, 1, 63, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (187, 29, 3, 15, 4, 3, 69, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (188, 42, 23, 23, 12, 2, 80, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (189, 6, 4, 9, 7, 3, 56, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (190, 41, 7, 24, 3, 3, 35, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (191, 13, 1, 10, 4, 4, 97, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (192, 29, 18, 9, 3, 2, 9, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (193, 5, 4, 21, 3, 3, 99, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (194, 11, 11, 30, 12, 1, 8, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (195, 56, 15, 5, 11, 4, 63, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (196, 13, 10, 6, 2, 1, 76, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (197, 45, 11, 19, 5, 1, 56, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (198, 17, 5, 8, 6, 2, 98, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (199, 23, 19, 25, 1, 1, 45, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (200, 35, 4, 7, 5, 2, 47, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (201, 3, 8, 1, 2, 4, 84, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (202, 7, 22, 3, 10, 1, 25, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (203, 24, 8, 2, 9, 1, 47, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (204, 31, 17, 17, 7, 3, 39, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (205, 0, 16, 7, 1, 2, 55, 2023);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (206, 5, 5, 9, 5, 1, 12, 2021);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (207, 20, 8, 1, 4, 1, 3, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (208, 4, 14, 25, 5, 3, 98, 2022);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (209, 34, 19, 21, 6, 1, 32, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (210, 35, 4, 24, 4, 1, 61, 2020);
insert into Tempo (id_tempo, minuto, hora, dia, mes, trimestre, semestre, ano) values (211, 15, 16, 23, 3, 2, 25, 2021);
