insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (1, 602, 317, 20, 63, 1, 9, 676.94, 6092.46);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (15, 388, 501, 17, 220, 1, 5, 12.98, 64.9);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (16, 112, 761, 11, 15, 1, 5, 244.95, 1224.75);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (17, 777, 641, 28, 94, 1, 8, 909.75, 7278.0);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (18, 920, 785, 74, 13, 4, 10, 55.36, 553.6);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (19, 624, 427, 70, 113, 2, 5, 453.19, 2265.95);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (20, 377, 342, 92, 190, 4, 2, 490.2, 980.4);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (21, 732, 837, 66, 15, 2, 5, 322.76, 1613.8);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (22, 693, 474, 77, 235, 2, 8, 46.86, 374.88);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (23, 482, 621, 9, 112, 2, 4, 627.41, 2509.64);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (24, 239, 940, 78, 53, 2, 6, 731.74, 4390.44);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (25, 728, 405, 50, 142, 1, 6, 198.15, 1188.9);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (26, 545, 998, 2, 133, 4, 2, 594.29, 1188.58);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (27, 739, 239, 66, 134, 2, 5, 580.67, 2903.35);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (28, 313, 636, 46, 218, 1, 8, 853.44, 6827.52);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (29, 765, 187, 75, 27, 4, 8, 589.16, 4713.28);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (30, 581, 422, 1, 37, 4, 2, 400.33, 800.66);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (31, 519, 841, 54, 195, 4, 1, 746.73, 746.73);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (32, 99, 201, 69, 33, 3, 9, 941.36, 8472.24);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (33, 76, 477, 56, 93, 1, 10, 370.15, 3701.5);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (34, 23, 220, 16, 91, 2, 6, 216.89, 1301.34);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (35, 745, 264, 21, 127, 1, 2, 14.37, 28.74);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (36, 875, 943, 4, 241, 4, 3, 395.71, 1187.13);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (37, 481, 85, 65, 15, 1, 6, 392.03, 2352.18);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (38, 326, 161, 82, 232, 1, 4, 618.62, 2474.48);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (39, 3, 801, 71, 110, 1, 1, 55.51, 55.51);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (40, 96, 474, 21, 131, 2, 6, 294.77, 1768.62);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (41, 790, 432, 49, 2, 4, 8, 639.89, 5119.12);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (42, 760, 391, 71, 195, 1, 8, 71.87, 574.96);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (43, 473, 453, 11, 194, 1, 8, 497.97, 3983.76);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (44, 356, 887, 35, 88, 2, 7, 519.71, 3637.97);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (45, 911, 235, 22, 230, 2, 6, 197.9, 1187.4);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (46, 758, 216, 7, 71, 4, 2, 797.84, 1595.68);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (47, 981, 211, 96, 135, 1, 1, 773.15, 773.15);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (48, 685, 107, 4, 244, 3, 8, 30.7, 245.6);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (49, 342, 525, 68, 178, 1, 10, 379.99, 3799.9);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (50, 578, 354, 27, 88, 3, 7, 803.86, 5627.02);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (51, 183, 73, 64, 241, 1, 2, 351.24, 702.48);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (52, 934, 732, 56, 215, 2, 3, 861.31, 2583.93);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (53, 261, 271, 31, 205, 2, 8, 766.1, 6128.8);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (54, 136, 508, 70, 25, 3, 9, 195.33, 1757.97);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (55, 870, 898, 87, 180, 3, 9, 909.15, 8182.35);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (56, 1, 192, 31, 195, 4, 9, 784.02, 7056.18);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (57, 214, 640, 2, 86, 1, 2, 246.93, 493.86);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (58, 134, 685, 72, 156, 2, 6, 841.1, 5046.6);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (59, 28, 262, 47, 168, 1, 9, 936.16, 8425.44);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (60, 310, 925, 35, 186, 2, 3, 72.95, 218.85);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (61, 704, 112, 55, 207, 3, 5, 415.78, 2078.9);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (62, 587, 798, 28, 128, 4, 1, 791.76, 791.76);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (63, 921, 195, 97, 51, 3, 8, 135.44, 1083.52);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (64, 824, 190, 39, 32, 2, 10, 696.09, 6960.9);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (65, 264, 39, 75, 235, 2, 8, 121.59, 972.72);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (66, 978, 777, 42, 55, 4, 8, 463.39, 3707.12);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (67, 225, 790, 22, 10, 4, 3, 910.76, 2732.28);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (68, 105, 54, 66, 100, 3, 8, 22.25, 178.0);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (69, 40, 756, 62, 221, 1, 9, 438.54, 3946.86);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (70, 785, 922, 16, 140, 1, 5, 454.39, 2271.95);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (71, 265, 711, 100, 236, 2, 10, 43.96, 439.6);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (72, 634, 865, 33, 68, 1, 3, 620.66, 1861.98);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (73, 972, 61, 73, 144, 4, 5, 375.82, 1879.1);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (74, 889, 546, 31, 10, 1, 2, 908.43, 1816.86);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (75, 66, 251, 18, 190, 3, 5, 329.89, 1649.45);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (76, 336, 312, 52, 235, 4, 2, 747.42, 1494.84);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (77, 204, 438, 18, 140, 2, 3, 572.08, 1716.24);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (78, 737, 173, 77, 216, 4, 6, 768.31, 4609.86);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (79, 796, 116, 65, 145, 3, 8, 148.25, 1186.0);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (80, 734, 442, 97, 86, 1, 6, 807.16, 4842.96);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (81, 312, 242, 77, 203, 1, 7, 398.93, 2792.51);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (82, 475, 521, 91, 231, 1, 6, 640.94, 3845.64);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (83, 744, 449, 29, 100, 2, 8, 614.49, 4915.92);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (84, 783, 479, 33, 248, 3, 6, 750.14, 4500.84);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (85, 110, 386, 73, 8, 4, 7, 140.66, 984.62);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (86, 2, 682, 17, 25, 2, 7, 193.21, 1352.47);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (87, 588, 242, 59, 71, 2, 7, 666.32, 4664.24);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (88, 733, 82, 61, 35, 3, 9, 378.68, 3408.12);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (89, 493, 217, 46, 209, 1, 8, 553.04, 4424.32);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (90, 119, 994, 60, 164, 4, 9, 155.84, 1402.56);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (91, 575, 96, 25, 146, 1, 2, 461.2, 922.4);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (92, 739, 22, 35, 245, 4, 4, 866.6, 3466.4);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (93, 367, 601, 27, 206, 3, 2, 80.92, 161.84);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (94, 284, 719, 72, 185, 4, 2, 45.31, 90.62);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (95, 882, 894, 22, 134, 3, 6, 624.26, 3745.56);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (96, 905, 922, 79, 59, 2, 8, 765.79, 6126.32);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (97, 638, 952, 27, 242, 2, 3, 625.85, 1877.55);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (98, 497, 695, 84, 146, 4, 7, 94.74, 663.18);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (99, 235, 993, 1, 125, 3, 3, 774.73, 2324.19);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (100, 372, 422, 27, 208, 2, 1, 140.27, 140.27);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (101, 967, 997, 57, 206, 4, 7, 710.23, 4971.61);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (102, 846, 568, 21, 52, 3, 6, 910.03, 5460.18);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (103, 778, 44, 53, 172, 4, 9, 759.71, 6837.39);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (104, 336, 246, 7, 27, 2, 3, 542.55, 1627.65);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (105, 814, 532, 10, 146, 4, 7, 142.64, 998.48);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (106, 433, 26, 88, 49, 4, 5, 223.16, 1115.8);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (107, 231, 899, 2, 11, 4, 5, 420.3, 2101.5);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (108, 681, 368, 56, 162, 4, 4, 830.38, 3321.52);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (109, 869, 895, 45, 31, 2, 1, 893.94, 893.94);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (110, 692, 926, 100, 170, 2, 6, 594.66, 3567.96);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (111, 963, 73, 59, 124, 3, 3, 456.31, 1368.93);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (112, 453, 438, 41, 39, 4, 9, 850.12, 7651.08);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (113, 706, 91, 92, 196, 1, 5, 140.33, 701.65);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (114, 56, 739, 68, 62, 3, 1, 99.21, 99.21);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (115, 122, 824, 39, 6, 2, 9, 564.73, 5082.57);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (116, 716, 617, 41, 126, 1, 7, 537.34, 3761.38);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (117, 188, 701, 58, 102, 1, 6, 846.08, 5076.48);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (118, 426, 164, 67, 165, 2, 7, 320.13, 2240.91);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (119, 505, 404, 54, 212, 1, 4, 162.58, 650.32);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (120, 108, 262, 1, 37, 1, 5, 199.54, 997.7);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (121, 992, 302, 79, 241, 3, 3, 535.24, 1605.72);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (122, 728, 84, 13, 20, 4, 7, 427.34, 2991.38);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (123, 119, 292, 52, 12, 2, 5, 121.34, 606.7);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (124, 229, 138, 38, 164, 1, 8, 250.55, 2004.4);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (125, 106, 335, 100, 51, 1, 1, 44.35, 44.35);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (126, 117, 14, 2, 191, 1, 10, 15.32, 153.2);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (127, 867, 604, 18, 34, 2, 2, 418.41, 836.82);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (128, 19, 579, 30, 218, 3, 2, 308.02, 616.04);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (129, 370, 965, 59, 219, 2, 7, 264.76, 1853.32);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (130, 860, 313, 3, 160, 3, 10, 156.94, 1569.4);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (131, 168, 867, 86, 217, 4, 7, 122.76, 859.32);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (132, 521, 781, 91, 244, 2, 3, 259.69, 779.07);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (133, 129, 95, 45, 179, 2, 6, 334.11, 2004.66);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (134, 66, 797, 74, 66, 1, 2, 118.38, 236.76);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (135, 958, 926, 57, 203, 1, 10, 903.12, 9031.2);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (136, 58, 552, 83, 177, 4, 1, 725.69, 725.69);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (137, 700, 138, 86, 92, 1, 1, 694.66, 694.66);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (138, 333, 957, 89, 207, 3, 3, 641.56, 1924.68);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (139, 993, 154, 19, 183, 3, 10, 918.68, 9186.8);
insert into Vendas (idvendas, id_tempo, id_produto, id_loja, id_funcionario, id_metodo_pagamento, quantidade, preco_unitario, valor_venda) values (140, 48, 9, 86, 161, 2, 4, 615.72, 2462.88);
